year,month,day,hour,min,sec,lon,lat,depth,mag
1953,12,21,18,29,59.95,176.24,-39.84,33,3.048
1953,12,22,2,23,5.15,174.76,-41.04,33,3.099
1953,12,23,1,17,5.74,175.88,-38.62,33,3.337
1953,12,23,2,52,28.36,172.63,-40.99,33,3.099
1953,12,24,21,19,14.72,175.7,-37.86,12,4.17
1953,12,25,2,18,43.21,173.73,-41.99,12,3.354
1953,12,26,10,49,53.1,177.7,-40.24,33,3.864
1953,12,27,5,41,17.73,175.28,-39.98,33,4.442
1953,12,28,23,3,56.51,173.96,-40.99,33,3.737
1953,12,29,18,15,46.8,175.85,-41.38,33,3.099
1954,1,1,22,30,24.64,175.37,-40.11,12,3.201
1954,1,4,13,44,24.09,175.33,-39.25,12,3.235
1954,1,5,7,12,39.91,175.28,-40.6,12,3.354
1954,1,5,19,1,22.71,177.8,-38.9,33,4.18
1954,1,8,18,32,29.17,168.86,-43.03,12,4.282
1954,1,14,6,24,24.42,174.87,-41.56,33,3.456
1954,1,16,8,13,33.94,177.09,-39.26,12,3.235
1954,2,1,16,37,14.21,169.34,-42.24,12,4.303
1954,2,5,7,22,20.78,173.54,-41.14,33,3.227
1954,2,18,2,9,47.14,167.95,-44.1,33,4.445
1954,2,22,4,44,41.3,178.1,-37.99,33,3.813
1954,2,23,13,47,54.11,174.46,-40.99,33,3.15
1954,3,9,1,42,27.61,175.78,-39.89,33,3.337
1954,3,31,12,19,41.18,175.37,-40.65,33,3.405
1954,4,2,8,41,9.31,174.19,-40.46,33,3.839
1954,4,4,2,9,2.45,177.96,-38.96,12,3.915
1954,4,4,8,52,13.73,176.56,-39.81,12,3.772
1954,4,5,11,59,10.54,172.1,-41.7,12,3.1
1954,4,10,1,0,43.82,172.67,-41.03,12,4.139
1954,4,11,1,53,18.93,175.15,-40.51,12,4.374
1954,4,22,5,12,13.09,172.75,-42.29,12,4.357
1954,4,22,21,1,47.05,174.44,-40.57,33,4.102
1954,4,25,11,7,9.14,174.58,-40.34,33,3.66
1954,5,1,16,31,16.97,174.09,-42.24,12,3.507
1954,5,3,2,48,43.39,174.19,-40.26,33,3.568
1954,5,4,18,22,21.98,173.7,-41.47,12,3.966
1954,5,16,17,20,19.84,172.86,-40.86,5,3.839
1954,5,18,0,6,30.37,178.1,-38.89,33,3.66
1954,6,2,23,29,36.67,177.66,-39.09,12,3.745
1954,6,7,11,21,27.83,175.04,-40.89,12,3.813
1954,6,14,18,38,36.62,175.97,-38.74,12,4
1954,6,22,8,42,57.5,173.17,-42.89,33,3.15
1954,6,29,15,6,45.45,177.06,-38.62,33,3.541
1954,7,10,22,56,39.98,173.78,-41.86,12,4.527
1954,7,13,14,13,4.8,171.23,-43.25,33,3.38
1954,7,19,23,22,34.68,177,-38,12,3.6
1954,7,20,21,34,48.3,172.89,-42.13,33,4.486
1954,7,23,15,54,0.03,174.64,-41.24,33,3.915
1954,7,23,20,58,52,177.65,-39.43,33,4.051
1954,7,29,3,18,1.54,172.47,-41.2,12,3.779
1954,7,31,2,33,14.42,174,-41.24,12,4.343
1954,8,1,7,44,36.92,173.5,-39.15,12,4.381
1954,8,5,1,0,21.9,172.37,-41.22,12,3.762
1954,8,8,15,20,37.57,175.65,-39.12,12,3.27
1954,8,14,15,25,28.95,175.5,-41.3,33,3.8
1954,8,19,20,30,46.58,177.5,-40.2,33,3.711
1954,8,24,10,45,24.88,176.63,-37.73,12,4.384
1954,9,2,4,13,51.16,174.83,-41.42,12,3.609
1954,9,19,8,34,9.02,176,-40,12,3
1954,9,25,14,43,57,174.3,-39.75,12,3.745
1954,10,3,3,18,50.44,176.16,-38.27,33,3.048
1954,10,3,3,41,52.71,178.15,-37,33,4.69
1954,10,4,6,58,9.58,176.32,-40.56,33,3.728
1954,10,13,1,8,24.01,176.14,-38.4,12,4.466
1954,10,15,21,59,51.48,172.45,-41.77,33,3.337
1954,10,16,15,33,30.85,176.63,-38.63,33,4.119
1954,10,16,17,32,15.77,171.42,-42.95,12,3.066
1954,10,16,18,10,44.86,177.9,-40.34,33,3.575
1954,10,16,22,58,43.92,174.29,-42.33,33,4.547
1954,10,17,9,24,49.16,174.5,-40.37,33,4.612
1954,10,19,19,8,6.5,172.98,-42.35,12,3.686
1954,10,27,10,11,19.43,173.31,-39.49,33,3.813
1954,10,29,23,43,35.56,174.91,-41.49,33,4.17
1954,10,31,19,10,2.2,172.3,-40.71,33,3.745
