Year,Mo,Da,Ho,Mi,Se,Lat,Lon,Depth,Mw
1987,5,14,17,47,18.89,44.876,11.1462,0,3.54
1990,4,22,16,47,7.38,41.1725,14.8223,0,3.51
1978,12,27,17,46,0,41.1333,13.4833,397,5.75
1964,10,4,1,46,50,39.0833,15.4333,252,4.26
1992,4,25,12,46,17.76,38.5845,14.9607,223.8,5.12
1977,10,9,0,46,35,39.4667,16.7667,81,3.64
1988,2,5,21,46,26.3,36.751,12.8022,58.9,3.73
1974,11,23,18,46,35,39.7425,18.9397,48,4.79
1976,8,22,14,46,34,39.65,17,48,3.64
1988,4,26,2,46,12.47,42.2917,16.6527,38.3,3.52
1976,5,6,21,46,17,46.26,13.2,38,3.93
2014,12,20,16,46,34.8,36.334,12.7427,38,3.54
2015,4,3,14,46,30.58,38.537,12.8835,38,3.53
1999,6,13,17,46,10.94,37.9658,15.8523,32.7,3.76
1978,4,16,18,46,29,38.3667,14.9833,31,3.84
2002,10,27,5,46,48.06,37.7325,15.119,27.4,3.76
1997,5,15,9,46,49.76,40.6387,15.9143,25.3,3.56
2002,11,12,13,46,7.94,41.7,14.7913,25.3,3.56
2011,5,11,1,46,48.14,37.791,14.968,25.3,3.51
2004,6,11,3,46,46.4,41.912,16.166,24.9,3.76
1997,3,25,0,46,17.22,37.1988,15.7017,24.3,4.49
2020,2,17,23,46,54.35,40.806,10.197,23.5,3.56
2015,12,20,9,46,3.78,38.3418,13.5663,22.7,4.41
1978,5,11,2,46,57,38.2,14.9833,22,4.64
1997,3,21,16,46,20.29,42.8608,11.6965,21.1,3.66
2015,8,8,22,46,24.36,38.5513,14.2695,19.5,4.03
1987,7,3,10,46,56.62,45.4098,7.5677,17.8,3.62
1987,7,11,1,46,52.02,44.7715,11.3063,16.9,4.13
1978,4,3,19,46,21,38.2333,16.2333,15,3.84
1990,3,16,18,46,5.03,37.6675,14.9898,14.7,3.55
1976,6,15,5,46,34,46.35,13.2333,14,3.69
1979,3,16,10,46,23,42.9167,12.9833,13,3.51
1997,9,26,13,46,29.57,43.0578,12.8495,12.2,3.76
2002,9,28,2,46,47.12,38.4207,13.764,11.9,4.59
