y,month,d,h,minute,s,lon,lat,depth,mw
1952,3,8,20,15,52.9,179.4,-36.29,302,3.5975
1977,5,22,4,5,58.08,176.91,-36.9,302,3.7719
1954,12,23,11,17,16.58,178.12,-35.89,302,4.2604
1979,11,1,9,32,21.7,175.8,-38.08,302,5.3
2020,5,25,17,9,31.161,180.5549,-32.0967,301.4997,4.042
2020,5,17,14,40,4.007,180.2383,-33.7071,301.3984,3.5509
2001,9,7,11,13,54.363,176.9863,-36.9508,301.28,3.9043
1989,7,2,14,11,9.814,176.212,-37.6533,301.1219,3.569
1981,12,27,10,6,31.14,176.31,-37.45,301,3.5203
1971,11,10,11,40,27.77,176.86,-37.18,301,3.5724
1977,8,2,23,19,3.5,178.69,-35.2,301,3.8334
1987,6,26,10,4,52.537,177.0961,-36.7981,300.4077,4.6293
1987,3,9,21,14,55.586,182.1483,-34.5302,300.3012,3.7974
1999,11,13,17,0,9.431,177.0242,-36.6913,300.1275,4.0793
1989,10,21,14,16,24.868,175.9874,-37.8892,300.025,4.4589
1955,4,9,13,44,26.48,176.08,-37.92,300,3.5003
1980,3,3,14,16,42.02,179.56,-35.56,300,3.5115
1965,12,18,9,19,9.84,176.76,-37.2,300,3.6206
2019,5,30,22,14,45.074,181.5044,-33.6974,300,3.6625
2020,3,11,12,44,30.091,182.6165,-33.2568,300,3.7277
1975,1,11,23,5,52.53,178.31,-34.72,300,3.8399
2020,3,17,15,39,23.436,180.3097,-32.4866,300,3.9031
1949,12,18,5,39,10.37,179.97,-35.12,300,5.9314
1914,11,22,8,14,0,176.5,-37.5,300,7.3
2013,4,16,7,1,42.294,179.2763,-33.1105,299.9114,3.8143
2019,4,23,6,39,41.302,180.4551,-32.3861,299.2924,3.9216
2013,1,27,5,54,9.119,179.6341,-33.9241,299.2789,3.5486
2016,6,9,3,27,44.212,176.2859,-37.5129,299.048,3.6379
2019,11,28,5,40,2.597,180.2907,-32.3027,299.0106,3.5989
1982,3,8,19,39,37.23,177.3,-36.64,299,3.8678
1960,9,19,12,41,38.44,176.18,-37.66,299,4.4715
1955,7,5,6,59,56.04,176.21,-37.77,299,4.73
2012,1,1,7,49,53.985,181.1909,-32.425,298.7347,3.8241
2003,2,7,19,22,27.264,177.1475,-36.4337,298.13,4.1803
1974,6,5,10,41,13.47,178.73,-35.33,298,3.5305
1965,4,3,9,36,27.45,176.97,-36.81,298,4.2648
1957,12,10,16,57,7.89,177.38,-36.89,298,4.4229
1995,3,2,22,9,46.664,176.2733,-37.5223,297.9057,3.9836
2012,7,4,19,10,2.724,179.7545,-32.6844,297.6202,3.6514
1988,1,26,16,24,24.422,177.2151,-36.8107,297.4582,4.157
1966,6,24,6,7,4.18,176.67,-37.15,297,4.1346
1970,1,8,17,12,36.58,179.3,-34.94,297,6.0623
2019,10,6,16,21,46.325,179.9942,-32.5929,296.1338,3.8769
1990,3,4,13,51,12.841,176.6045,-37.4325,296.0951,3.79
1989,4,17,13,5,16.033,175.8618,-37.8711,296.0894,5.271
1970,2,20,12,39,13.86,178.79,-35.64,296,3.5547
2004,5,1,14,14,12.004,175.8162,-37.714,296,3.8977
1947,2,17,9,48,53.13,176.39,-38.12,296,5.339
1992,8,9,23,58,0.137,176.2038,-37.7788,295.8992,4.4014
2001,3,25,11,44,0.407,175.8323,-37.7933,295.57,4.4838
1989,4,23,6,45,54.097,176.5561,-37.5224,295.468,4.4891
2001,10,2,9,2,7.181,176.7862,-37.1282,295.14,3.5141
2001,8,12,7,42,43.495,175.708,-37.8845,295.02,4.3038
1966,6,22,23,27,52.04,179.07,-35.32,295,3.655
1986,10,8,18,8,6.16,178.98,-35.73,295,3.8355
1977,4,25,15,8,36.34,176.03,-37.9,295,4.1414
2015,5,3,17,53,17.128,179.9623,-32.4871,294.5385,3.7697
1988,9,22,9,11,13.943,175.6467,-37.7309,294.1269,3.5836
1975,8,11,13,39,44.51,179.85,-35.79,294,3.5033
1978,4,2,17,19,30.38,178.33,-36.01,294,3.5798
1964,5,17,7,3,6.87,176.73,-37.45,294,3.9225
1947,12,19,16,4,5.13,176.24,-38.22,294,4.7419
1997,6,10,3,19,2.628,176.1438,-37.8955,293.8825,4.0268
2003,12,10,19,51,2.751,178.2714,-35.5614,293.792,3.5069
1990,6,16,3,39,47.694,180.2544,-35.0008,293.753,3.7252
2001,1,14,11,40,28.239,176.9697,-36.8033,293.17,3.6994
2005,8,9,1,25,3.082,177.1763,-36.6323,293.15,3.5608
1969,2,2,6,33,22.76,176.93,-37.33,293,3.7209
1984,9,26,9,29,19.13,178.76,-35.35,293,3.8127
1971,6,9,6,43,33.62,176.94,-36.92,293,4.0187
2000,10,22,3,41,35.742,176.4011,-37.7366,292.7126,3.7655
1998,3,4,1,35,39.232,179.5386,-35.6891,292.4666,3.6865
2019,9,17,8,26,3.591,180.1546,-34.1396,292.4012,3.5447
1993,7,22,21,27,48.435,176.1908,-37.8343,292.2342,3.6208
1951,8,4,9,45,7.92,176.09,-37.5,292,3.5193
1976,3,6,8,57,34.5,176.7,-37.34,292,3.5897
1956,6,24,11,21,58.79,177.69,-37.14,292,3.6723
1963,10,9,9,58,16.11,176.25,-37.63,292,3.8661
1986,8,16,2,18,34.59,177.45,-36.44,292,3.8936
1977,9,1,18,37,40.87,177.69,-36.39,292,4.0548
1984,9,12,6,13,52.87,175.74,-38.08,292,4.1312
1964,10,8,22,48,34.46,176.05,-37.87,292,4.4372
2012,7,17,1,35,15.662,176.2304,-37.7525,291.943,4.3191
2016,2,5,1,16,58.835,176.9725,-36.8291,291.401,4.2856
2013,5,27,19,52,42.254,179.5831,-32.0866,291.2706,3.7392
1972,11,15,1,13,47.18,175.8,-38.02,291,3.5135
1975,8,16,18,0,34.48,179.05,-35.32,291,3.5645
1981,4,10,8,25,34,177.5,-36.16,291,3.7124
1977,10,12,11,59,28.77,178.91,-35.32,291,3.8787
1961,9,11,1,36,27.06,176.94,-37.26,291,4.0316
1949,4,2,12,10,47.07,176.35,-38.09,291,4.0826
1990,3,25,20,23,46.942,176.7192,-37.2744,290.9042,3.5209
2014,8,8,7,41,28.394,176.0671,-37.7236,290.734,4.0724
2020,1,24,1,16,1.45,179.646,-32.3096,290.7258,3.5088
1987,6,8,3,11,39.625,181.4181,-33.0481,290.0986,4.0542
2016,2,1,11,5,9.423,175.3178,-38.5509,290.086,4.0623
1986,2,18,18,15,44.45,176.93,-36.91,290,3.5241
1953,10,23,14,32,1.75,176.39,-37.41,290,3.6261
1954,8,6,1,33,44.28,175.48,-38.16,290,3.6771
1961,6,15,10,57,41.91,177.79,-36.16,290,3.6771
1985,12,14,12,13,2.18,176.7,-37.13,290,3.7862
1980,5,27,15,2,26.64,175.94,-37.98,290,4.0493
1943,2,20,16,11,12.96,177.02,-37.39,290,4.34
1940,9,27,22,20,43,176.2,-38.6,290,5
1999,10,31,19,0,9.526,176.4911,-37.5655,289.7284,3.7715
2012,11,28,22,58,21.239,179.7146,-32.5228,289.5858,3.8392
2020,12,30,18,5,18.511,180.1367,-32.6136,289.4364,3.549
1950,2,17,17,10,22.25,178.3,-37.54,289,3.7304
1974,6,16,13,42,56.69,177.05,-37.12,289,3.8028
1950,2,20,10,44,47.98,177.38,-37.67,289,4.5973
2003,2,14,8,50,3.361,175.9592,-37.6702,288.89,3.8291
1995,8,26,11,45,47.196,178.7876,-35.2135,288.602,4.5289
1992,9,18,15,28,9.884,176.776,-36.9907,288.4975,3.5358
2019,8,2,15,4,10.072,181.4821,-33.1257,288.3432,3.9289
2014,11,4,18,45,35.559,176.7983,-36.8896,288.085,3.8313
1981,11,5,18,11,52.79,177.2,-36.56,288,3.5288
1978,8,21,0,57,52.59,176.03,-37.9,288,3.845
1974,3,29,1,58,3.84,178.89,-35.45,288,3.9429
1951,7,20,10,5,2.47,176.53,-36.98,288,4.1408
1997,7,14,3,7,18.699,178.2097,-35.2636,287.6318,3.5705
1990,11,3,18,53,19.426,177.6152,-36.0214,287.4227,3.8851
1997,9,12,20,14,57.326,176.1091,-37.7363,287.2323,4.1987
1990,8,13,12,46,58.002,176.387,-37.7625,287.2006,3.7796
2005,10,15,0,17,36.662,177.3207,-36.241,287.19,3.8318
1997,4,11,19,46,38.98,175.6372,-38.4229,287.0888,4.3051
1978,7,27,1,4,36.38,178.15,-36.06,287,3.572
1986,10,30,14,25,39.93,179.03,-35.3,287,3.6913
1981,7,17,17,47,30.3,176.71,-36.98,287,3.7811
1951,11,4,20,22,59.7,176.21,-38.23,287,4.3471
2020,2,6,23,24,2.811,180.0961,-32.228,286.5654,4.1737
1999,2,3,3,19,45.955,179.5127,-35.3427,286.5523,4.0534
