target_id,latitude,longitude,time,magnitude,mc_current,mc_current_above_ref,mu,P_triggered,P_background,zeta_plus_1
1485,-44.4866,170.2523,2014-11-02 06:45:30.001,3.6,3.5,0.0,1.5264226889076911e-07,0.007218461299660316,0.9927815387003396,1.0
1486,-41.7181,174.1827,2014-11-03 16:15:15.001,3.7,3.5,0.0,1.5264226889076911e-07,0.9968364353027015,0.003163564697298509,1.0
1487,-37.7607,175.7166,2014-11-05 02:37:22.248,3.6,3.5,0.0,1.5264226889076911e-07,0.0006889554462498097,0.9993110445537503,1.0
1488,-37.7626,175.7152,2014-11-06 14:43:10.173,3.9000000000000004,3.5,0.0,1.5264226889076911e-07,0.9998842828181987,0.0001157171818012117,1.0
1489,-45.4389,166.6969,2014-11-07 10:19:13.293,3.7,3.5,0.0,1.5264226889076911e-07,0.8613271972956043,0.1386728027043958,1.0
1490,-44.2003,167.9428,2014-11-08 05:51:21.729,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.04279027533630846,0.9572097246636915,1.0
1491,-39.9214,176.8469,2014-11-16 05:07:49.926,4.1000000000000005,3.5,0.0,1.5264226889076911e-07,0.5497370484413052,0.45026295155869467,1.0
1492,-40.9645,172.4806,2014-11-17 23:16:47.632,3.7,3.5,0.0,1.5264226889076911e-07,0.018277324711711538,0.9817226752882885,1.0
1493,-37.8728,178.4668,2014-11-20 07:09:32.140,3.5,3.5,0.0,1.5264226889076911e-07,0.9796464044198322,0.020353595580167836,1.0
1494,-37.6007,179.1914,2014-11-23 19:12:06.323,4.0,3.5,0.0,1.5264226889076911e-07,0.015478502169024827,0.9845214978309752,1.0
1495,-40.6427,175.8882,2014-12-05 21:16:47.820,4.4,3.5,0.0,1.5264226889076911e-07,0.9984007075826549,0.0015992924173452029,1.0
1496,-42.1333,171.9439,2014-12-09 13:29:59.076,3.6,3.5,0.0,1.5264226889076911e-07,0.941977057311508,0.0580229426884919,1.0
1497,-43.6349,172.368,2014-12-12 13:37:04.148,4.2,3.5,0.0,1.5264226889076911e-07,0.9891995234244527,0.010800476575547339,1.0
1498,-40.6221,175.9179,2014-12-13 23:17:31.781,3.6,3.5,0.0,1.5264226889076911e-07,0.9986828003009112,0.001317199699088728,1.0
1499,-44.4585,167.1283,2014-12-14 00:26:10.067,3.5,3.5,0.0,1.5264226889076911e-07,0.062022561870991894,0.9379774381290081,1.0
1500,-44.3903,167.102,2014-12-14 13:30:47.438,3.6,3.5,0.0,1.5264226889076911e-07,0.993234584856751,0.006765415143248946,1.0
1501,-44.4796,167.1447,2014-12-14 13:41:31.687,3.7,3.5,0.0,1.5264226889076911e-07,0.9998551652839691,0.00014483471603089082,1.0
1502,-44.4236,167.1602,2014-12-14 13:46:12.032,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.9999809468719358,1.9053128064122822e-05,1.0
1503,-44.3965,167.1698,2014-12-14 15:21:32.659,3.5,3.5,0.0,1.5264226889076911e-07,0.9999728782208492,2.7121779150784605e-05,1.0
1504,-38.2981,177.984,2014-12-19 12:51:22.482,4.800000000000001,3.5,0.0,1.5264226889076911e-07,0.09658009874027897,0.903419901259721,1.0
1505,-43.5575,172.7204,2014-12-24 06:43:44.138,4.0,3.5,0.0,1.5264226889076911e-07,0.9954077949786143,0.004592205021385727,1.0
1506,-39.2189,177.398,2014-12-25 04:05:22.981,3.6,3.5,0.0,1.5264226889076911e-07,0.930074162588152,0.06992583741184799,1.0
1507,-37.8317,178.8755,2015-01-01 18:21:14.122,3.9000000000000004,3.5,0.0,1.5264226889076911e-07,0.1476934857489926,0.8523065142510073,1.0
1508,-44.3509,169.3852,2015-01-02 13:02:53.535,3.5,3.5,0.0,1.5264226889076911e-07,0.029313181848840745,0.9706868181511593,1.0
1509,-43.0579,171.252,2015-01-05 17:48:41.753,5.6000000000000005,3.5,0.0,1.5264226889076911e-07,0.026584381934742603,0.9734156180652574,1.0
1510,-43.0581,171.2512,2015-01-05 17:52:48.614,4.0,3.5,0.0,1.5264226889076911e-07,0.9999996804427473,3.195572526030947e-07,1.0
1511,-43.0214,171.2248,2015-01-05 17:59:52.296,4.0,3.5,0.0,1.5264226889076911e-07,0.9999988273842528,1.172615747280301e-06,1.0
1512,-43.0372,171.2604,2015-01-05 20:37:22.373,3.7,3.5,0.0,1.5264226889076911e-07,0.9999947620636241,5.237936375816776e-06,1.0
1513,-43.0479,171.22,2015-01-05 23:23:40.085,4.5,3.5,0.0,1.5264226889076911e-07,0.9999900566741007,9.943325899373991e-06,1.0
1514,-43.0644,171.2898,2015-01-06 04:04:57.014,4.6000000000000005,3.5,0.0,1.5264226889076911e-07,0.9999780740181075,2.1925981892645686e-05,1.0
1515,-43.0281,171.2173,2015-01-06 04:28:12.527,3.6,3.5,0.0,1.5264226889076911e-07,0.9999925521137064,7.447886293607963e-06,1.0
1516,-43.0345,171.2459,2015-01-06 06:55:46.922,3.6,3.5,0.0,1.5264226889076911e-07,0.9999923391382097,7.660861790250433e-06,1.0
1517,-43.0323,171.2012,2015-01-07 10:25:05.503,3.7,3.5,0.0,1.5264226889076911e-07,0.9999499727809613,5.002721903869093e-05,1.0
1518,-41.8109,174.4085,2015-01-08 08:52:24.483,3.7,3.5,0.0,1.5264226889076911e-07,0.9710620742473712,0.028937925752628744,1.0
1519,-40.5321,175.9783,2015-01-08 23:05:41.393,3.5,3.5,0.0,1.5264226889076911e-07,0.9951663654839006,0.004833634516099407,1.0
1520,-40.3726,176.0723,2015-01-12 05:12:43.607,4.3,3.5,0.0,1.5264226889076911e-07,0.7656333146483325,0.23436668535166746,1.0
1521,-40.8606,175.5136,2015-01-13 17:11:38.704,3.8000000000000003,3.5,0.0,1.5264226889076911e-07,0.952542504648743,0.047457495351257026,1.0
